"filename", "language", "JavaScript", "Markdown", "SCSS", "JSON", "HTML", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\Manwlakis\Desktop\portofolio-test\README.md", "Markdown", 0, 5, 0, 0, 0, 0, 0, 4, 9
"c:\Users\Manwlakis\Desktop\portofolio-test\eslint.config.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 2, 39
"c:\Users\Manwlakis\Desktop\portofolio-test\index.html", "HTML", 0, 0, 0, 0, 13, 0, 0, 2, 15
"c:\Users\Manwlakis\Desktop\portofolio-test\package-lock.json", "JSON", 0, 0, 0, 5158, 0, 0, 0, 1, 5159
"c:\Users\Manwlakis\Desktop\portofolio-test\package.json", "JSON", 0, 0, 0, 34, 0, 0, 0, 1, 35
"c:\Users\Manwlakis\Desktop\portofolio-test\src\components\BoxA3.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Manwlakis\Desktop\portofolio-test\src\components\BoxB2.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Manwlakis\Desktop\portofolio-test\src\components\BoxB3.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 1, 1, 2, 4
"c:\Users\Manwlakis\Desktop\portofolio-test\src\components\BoxC3.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 2, 0, 3, 5
"c:\Users\Manwlakis\Desktop\portofolio-test\src\styles\Portfolio.scss", "SCSS", 0, 0, 311, 0, 0, 0, -7, 46, 350
"c:\Users\Manwlakis\Desktop\portofolio-test\vite.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 1, 2, 9
"Total", "-", 43, 5, 311, 5192, 13, 4, -5, 62, 5625
